,RAL_879,RAL_358,RAL_374,RAL_371,RAL_352,RAL_427,RAL_195,RAL_441,RAL_340,RAL_850,RAL_443,RAL_380,RAL_859,RAL_750,RAL_852,RAL_272,RAL_796,RAL_843,RAL_492,RAL_787,RAL_861,RAL_855,RAL_712,RAL_584,RAL_149,RAL_377,RAL_315,RAL_810,RAL_737,RAL_360,RAL_181,RAL_897,RAL_900,RAL_908,RAL_857,RAL_440,RAL_83,RAL_882,RAL_514,RAL_837,RAL_409,RAL_399,RAL_771,RAL_884,RAL_805,RAL_59,RAL_808,RAL_28,RAL_563,RAL_45,RAL_319,RAL_913,RAL_849,RAL_176,RAL_819,RAL_109,RAL_301,RAL_161,RAL_554,RAL_26,RAL_235,RAL_85,RAL_426,RAL_783,RAL_332,RAL_398,RAL_350,RAL_801,RAL_907,RAL_393,RAL_513,RAL_486,RAL_738,RAL_385,RAL_303,RAL_237,RAL_73,RAL_105,RAL_321,RAL_776,RAL_367,RAL_642,RAL_304,TAXA
0,1.0,7.0,1.0,0.0,3.0,5.0,1.0,6.0,6.0,1.0,3.0,3.0,58.25,6.0,5.0,0.0,1.0,1.0,20.0,6.0,5.0,4.0,1.0,5.0,9.0,0.0,656.3333333333336,13.0,7.0,34.0,2.0,0.0,7.0,11.0,5.0,1.0,17.0,0.0,14.0,2.0,2.0,2.0,4.0,2.0,2.0,26.0,0.0,19.0,5.0,17.0,1.0,11.0,2.0,2.0,3.0,10.0,750.25,6.0,2.0,5.0,2.0,13.0,5.0,0.0,15.0,1.0,9.0,5.0,26.0,2.0,0.0,2.0,2.0,1.0,108.0,3.0,0.0,23.0,3.0,5.0,2.0,39.0,1.0,c__Actinobacteria; o__Actinomycetales
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c__Actinobacteria; o__Solirubrobacterales
2,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,6.0,3.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,1.75,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,4.0,0.0,2.0,0.0,13.0,2.0,c__Alphaproteobacteria; o__Caulobacterales
3,0.0,26.0,57.0,5.0,16.0,14.0,5.0,12.0,28.0,13.0,8.0,11.0,0.0,29.0,24.0,5.0,4.0,14.0,126.0,30.0,10.0,56.0,2.0,40.0,19.0,2.0,19.0,76.0,77.0,243.0,7.0,2.0,18.0,77.0,7.0,6.0,65.0,5.0,36.0,10.0,8.0,22.0,8.0,12.0,6.0,67.0,5.0,54.0,13.0,95.0,2.0,93.0,8.0,17.0,17.0,51.0,11.75,8.0,9.0,30.0,18.0,47.0,7.0,2.0,51.0,11.0,100.0,31.0,84.0,24.0,6.0,34.0,11.0,5.0,1.75,63.0,1.0,78.0,12.0,37.0,10.0,169.0,9.0,c__Alphaproteobacteria; o__Rhizobiales
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,c__Alphaproteobacteria; o__Rhodobacterales
5,1460.0,4696.0,18.0,2923.0,384.0,1641.0,7501.0,1877.0,677.0,244.0,11894.0,146.0,570.25,499.0,2272.0,4450.0,2066.0,4712.0,3003.0,1793.0,5728.0,432.0,820.0,2775.0,6521.0,3631.0,32591.666666666664,2051.0,2772.0,1868.0,2139.0,1541.0,1221.0,1510.0,398.0,589.0,5380.0,2878.0,1628.0,1222.0,1876.0,1104.0,934.0,316.0,5660.0,2691.0,15525.0,682.0,5164.0,2100.0,2442.0,936.0,7972.0,11332.0,3834.0,489.0,51089.5,2277.0,1031.0,2459.0,126.0,3614.0,3864.0,2160.0,5681.0,654.0,4268.0,1587.0,4195.0,338.0,9372.0,2254.0,294.0,2084.0,23374.25,134.0,2348.0,412.0,4059.0,978.0,4195.0,1207.0,4900.0,c__Alphaproteobacteria; o__Rhodospirillales
6,1755.0,0.0,5195.0,0.0,6261.0,3.0,0.0,5676.0,23322.0,6340.0,1.0,12284.0,49927.5,17192.0,2921.0,7826.0,4270.0,0.0,2.0,2257.0,5796.0,6043.0,4002.0,5894.0,8464.0,0.0,141.0,2.0,8170.0,0.0,7293.0,4713.0,0.0,1.0,8755.0,3623.0,0.0,4018.0,1.0,4322.0,3225.0,0.0,7447.0,4320.0,2596.0,1.0,3.0,2.0,0.0,1.0,9758.0,6425.0,0.0,0.0,6725.0,1.0,1134.5,0.0,4175.0,0.0,11560.0,1.0,0.0,3258.0,2.0,2998.0,2.0,5513.0,1.0,8819.0,4339.0,5888.0,4489.0,0.0,85.25,4659.0,888.0,0.0,1957.0,9484.0,0.0,7.0,11517.0,c__Alphaproteobacteria; o__Rickettsiales
7,0.0,11.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,42.33333333333334,4.0,0.0,4.0,11.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,24.0,5.75,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,8.0,1.0,1.0,2.0,2.0,1.0,2.5,0.0,0.0,7.0,0.0,13.0,0.0,11.0,0.0,c__Alphaproteobacteria; o__Sphingomonadales
8,0.0,4.0,0.0,0.0,93.0,1.0,10.0,1.0,3.0,75.0,0.0,1.0,20.5,47.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,98.0,0.0,389.3333333333333,44.0,5.0,2.0,19.0,0.0,0.0,7.0,0.0,1.0,6.0,45.0,1.0,0.0,1.0,18.0,0.0,11.0,0.0,17.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,12.0,26.0,3376.0,228.25,26.0,14.0,4.0,7.0,0.0,0.0,150.0,3.0,0.0,0.0,4.0,71.0,0.0,0.0,0.0,1.0,0.0,25.5,0.0,3.0,1.0,1.0,1062.0,0.0,581.0,0.0,c__Bacilli; o__Bacillales
9,432.0,82.0,1.0,2887.0,384.0,21.0,267.0,2.0,305.0,70.0,1330.0,3.0,2907.0,580.0,582.0,2287.0,1739.0,931.0,967.0,133.0,0.0,754.0,313.0,1217.0,1464.0,1305.0,51543.333333333365,3093.0,26.0,1582.0,1620.0,914.0,138.0,2301.0,195.0,281.0,6533.0,520.0,2073.0,321.0,1771.0,2664.0,1356.0,2.0,681.0,2016.0,1405.0,2570.0,1768.0,3511.0,642.0,570.0,743.0,1841.0,1798.0,1.0,62519.5,252.0,461.0,109.0,42.0,464.0,2429.0,596.0,16.0,620.0,5.0,242.0,377.0,4.0,1561.0,0.0,116.0,549.0,90510.5,192.0,438.0,25.0,162.0,1558.0,2607.0,351.0,122.0,c__Bacilli; o__Lactobacillales
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.33333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c__Bacteroidia; o__Bacteroidales
11,9.0,230.0,237.0,40.0,185.0,226.0,48.0,102.0,204.0,141.0,66.0,120.0,1.5,176.0,188.0,86.0,85.0,102.0,974.0,232.0,87.0,385.0,33.0,222.0,131.0,13.0,27.0,690.0,545.0,1968.0,44.0,99.0,237.0,666.0,111.0,64.0,536.0,52.0,273.0,83.0,85.0,175.0,94.0,81.0,20.0,581.0,51.0,739.0,152.0,891.0,43.0,693.0,47.0,88.0,146.0,298.0,22.5,111.0,57.0,382.0,133.0,586.0,63.0,27.0,579.0,52.0,769.0,186.0,740.0,155.0,67.0,427.0,92.0,111.0,2.5,421.0,24.0,985.0,49.0,157.0,123.0,1333.0,118.0,c__Betaproteobacteria; o__Burkholderiales
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c__Deinococci; o__Thermales
13,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,,3.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,c__Flavobacteria; o__Flavobacteriales
14,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,139.0,77.25,0.0,0.0,3.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,1.0,0.0,57.0,0.0,19.0,0.0,c__Gammaproteobacteria; o__Enterobacteriales
15,2.0,17.0,10.0,3.0,5.0,9.0,2.0,2.0,8.0,5.0,3.0,4.0,0.5,17.0,11.0,7.0,3.0,3.0,31.0,9.0,7.0,14.0,3.0,8.0,6.0,1.0,34.0,26.0,24.0,83.0,10.0,5.0,16.0,29.0,4.0,3.0,12.0,3.0,9.0,2.0,3.0,7.0,13.0,1.0,0.0,15.0,3.0,18.0,6.0,38.0,8.0,2.0,1.0,4.0,3.0,92.0,63.75,5.0,1.0,25.0,7.0,53.0,0.0,6.0,48.0,1.0,30.0,13.0,38.0,5.0,1.0,11.0,2.0,3.0,3.0,1.0,1.0,35.0,1.0,38.0,3.0,49.0,4.0,c__Gammaproteobacteria; o__Pseudomonadales
16,22.0,358.0,659.0,118.0,408.0,348.0,77.0,298.0,414.0,283.0,143.0,207.0,0.0,216.0,493.0,126.0,179.0,223.0,2641.0,498.0,223.0,953.0,44.0,635.0,247.0,41.0,7.0,1774.0,1474.0,4358.0,134.0,210.0,372.0,1460.0,170.0,71.0,1274.0,125.0,741.0,184.0,183.0,329.0,115.0,209.0,18.0,1318.0,61.0,2170.0,350.0,1891.0,113.0,2003.0,52.0,200.0,394.0,939.0,33.0,285.0,150.0,742.0,399.0,839.0,163.0,83.0,790.0,178.0,1811.0,552.0,1827.0,331.0,53.0,739.0,225.0,293.0,0.75,1113.0,47.0,2107.0,189.0,461.0,223.0,3222.0,290.0,c__Gammaproteobacteria; o__Xanthomonadales
17,0.0,3.0,6.0,1.0,0.0,6.0,2.0,1.0,3.0,0.0,0.0,2.0,,5.0,2.0,0.0,0.0,0.0,7.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,,1.0,12.0,12.0,4.0,0.0,3.0,6.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,1.0,10.0,2.0,15.0,0.0,7.0,3.0,3.0,0.0,6.0,,2.0,0.0,11.0,4.0,12.0,0.0,0.0,13.0,1.0,10.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,,3.0,0.0,13.0,0.0,0.0,1.0,12.0,1.0,c__Sphingobacteria; o__Sphingobacteriales
18,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Acidimicrobiia; o__Acidimicrobiales
19,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,c__Actinobacteria; o__Bifidobacteriales
20,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,c__Anaerolineae; o__Caldilineales
