source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Scaevola tomentosa	gbif:7262228	=>	Scaevola tomentosa	ncbi:197992	665717	same/parent+parent	Goodeniaceae|Goodeniaceae
Scaevola tomentosa	gbif:7262228	-	Lobelia tomentosa	ncbi:368932	626117	noinfo/lineage	Goodeniaceae|Campanulaceae

Scaevola angulata	gbif:5569324	=>	Scaevola angulata	ncbi:197948	316885	same/parent+parent	Goodeniaceae|Goodeniaceae
Scaevola angulata	gbif:5569324	-	Pratia angulata	ncbi:85225	571547	noinfo/lineage	Goodeniaceae|Campanulaceae

Scaevola gaudichaudii	gbif:5407594	=>	Scaevola gaudichaudii	ncbi:197963	366528	same/primary-name	Scaevola gaudichaudii
Scaevola gaudichaudii	gbif:5407594	-	Scaevola montana	ncbi:197975	891310	noinfo	null

Dampiera stricta	gbif:7262323	=>	Dampiera stricta	ncbi:1161787	602251	same/primary-name	Dampiera stricta
Dampiera stricta	gbif:7262323	-	Dampiera ferruginea	ncbi:1161769	449610	noinfo	null

Lobelia fenestralis	gbif:5408749	=>	Lobelia fenestralis	ncbi:252777	958546	same/primary-name	Lobelia fenestralis
Lobelia fenestralis	gbif:5408749	-	Lobelia stricta	ncbi:368694	894914	noinfo	null

Lobelia nicotianifolia	gbif:7373525	=>	Lobelia nicotianifolia	ncbi:76579	665774	same/primary-name	Lobelia nicotianifolia
Lobelia nicotianifolia	gbif:7373525	-	Lobelia doniana	ncbi:1715891	9006559	noinfo	null

Lobelia leschenaultiana	gbif:5407838	=>	Lobelia leschenaultiana	ncbi:368689	320440	same/primary-name	Lobelia leschenaultiana
Lobelia leschenaultiana	gbif:5407838	-	Lobelia excelsa	ncbi:360852	444371	noinfo	null

Monopsis debilis	gbif:5413030	=>	Monopsis debilis	ncbi:378890	299641	same/primary-name	Monopsis debilis
Monopsis debilis	gbif:5413030	-	Lobelia depressa	ncbi:368683	320452	noinfo	null

Codonopsis clematidea	gbif:8569825	=>	Codonopsis clematidea	ncbi:942849	423125	same/primary-name	Codonopsis clematidea
Codonopsis clematidea	gbif:8569825	-	Codonopsis obtusa	ncbi:1678353	9006279	noinfo	null

Codonopsis forrestii	gbif:5412874	=>	Codonopsis forrestii	ncbi:1392595	5232466	same/primary-name	Codonopsis forrestii
Codonopsis forrestii	gbif:5412874	-	Codonopsis convolvulacea subsp. forrestii	ncbi:1676961	9006272	noinfo	null

Codonopsis lanceolata	gbif:5412935	=>	Codonopsis lanceolata	ncbi:103999	533090	same/primary-name	Codonopsis lanceolata
Codonopsis lanceolata	gbif:5412935	-	Codonopsis javanica subsp. japonica	ncbi:402675	1056026	noinfo	null

Codonopsis hongii	gbif:5412931	=>	Codonopsis hongii	ncbi:1678351	9006277	same/primary-name	Codonopsis hongii
Codonopsis hongii	gbif:5412931	-	Pseudocodon hirsutus	ncbi:1392598	5232468	noinfo	null

Codonopsis benthamii	gbif:5412871	=>	Codonopsis benthamii	ncbi:1392584	3893789	same/primary-name	Codonopsis benthamii
Codonopsis benthamii	gbif:5412871	-	Codonopsis macrocalyx	ncbi:1678352	9006278	noinfo	null

Centropogon granulosus	gbif:5412526	=>	Centropogon granulosus	ncbi:434389	320860	same/primary-name	Centropogon granulosus
Centropogon granulosus	gbif:5412526	-	Centropogon panamensis	ncbi:1582577	9006256	noinfo	null

Azorina vidalii	gbif:3166266	=>	Azorina vidalii	ncbi:239395	245755	same/primary-name	Azorina vidalii
Azorina vidalii	gbif:3166266	-	Campanula vidalii	ncbi:1053331	742574	noinfo	null

Adenophora remotiflora	gbif:5409457	=>	Adenophora remotiflora	ncbi:103991	533067	same/primary-name	Adenophora remotiflora
Adenophora remotiflora	gbif:5409457	-	Adenophora remotiflora var. hirticalyx	ncbi:1049764	79495	noinfo	null

Adenophora triphylla	gbif:5409255	=>	Adenophora triphylla	ncbi:187269	817781	same/primary-name	Adenophora triphylla
Adenophora triphylla	gbif:5409255	-	Adenophora triphylla var. japonica	ncbi:265775	526871	noinfo	null

