id	size	name	sourceinfo	reason	witness	replacement	status
814951	1	Madagaster madagascariensis	ncbi:382024	newly-hidden[incertae_sedis_inherited]	Madagaster	=		
3894987	1	Taraxacum asconense	gbif:5699170	id-retired/name-retired		*		
3894988	1	Taraxacum resectum	gbif:5695749	id-retired/name-retired		*		
3892323	1	Wahlenbergia tenuiloba	gbif:5413339	lumped		385587		
3894989	1	Taraxacum ascitum	gbif:5699171	id-retired/name-retired		*		
3893658	1	Centropogon candidatus	gbif:5412423	id-retired/name-retired		*		
3894980	1	Taraxacum pictidum	gbif:5696371	id-retired/name-retired		*		
3894981	1	Taraxacum grandiflorum	gbif:5698010	id-retired/name-retired		*		
3894982	1	Taraxacum grammolepis	gbif:5698015	id-retired/name-retired		*		
3894983	1	Taraxacum vestrobottnicum	gbif:5694631	id-retired/name-retired		*		
3894984	1	Taraxacum arenastrum	gbif:5699220	id-retired/name-retired		*		
3894985	1	Taraxacum arcuatum	gbif:5699226	id-retired/name-retired		*		
3894977	1	Taraxacum caloschistum	gbif:5394506	id-retired/name-retired		*		
3894978	1	Taraxacum pectinatiforme	gbif:5394505	id-retired/name-retired		*		
3894970	1	Taraxacum balticum	gbif:5394502	id-retired/name-retired		*		
3894971	1	Taraxacum brachyglossum	gbif:5394500	id-retired/name-retired		*		
3894972	1	Taraxacum auriapex	gbif:5699107	id-retired/name-retired		*		
3894973	1	Taraxacum amphilobum	gbif:5699351	id-retired/name-retired		*		
3894974	1	Taraxacum carthusianorum	gbif:5698838	id-retired/name-retired		*		
3894975	1	Taraxacum ampelophytum	gbif:5699354	id-retired/name-retired		*		
3894998	1	Taraxacum artutum	gbif:5699175	id-retired/name-retired		*		
3894999	1	Taraxacum xantholigulatum	gbif:5694570	id-retired/name-retired		*		
3894990	1	Taraxacum steenhoffianum	gbif:5695201	id-retired/name-retired		*		
3894991	1	Taraxacum starmuehleri	gbif:5695207	id-retired/name-retired		*		
3894992	1	Taraxacum staturale	gbif:5695204	id-retired/name-retired		*		
3894993	1	Taraxacum argillicola	gbif:5699217	id-retired/name-retired		*		
3894994	1	Taraxacum argoviense	gbif:5699213	id-retired/name-retired		*		
3894995	1	Taraxacum argutulum	gbif:5699210	id-retired/name-retired		*		
