id	replacement
3892323	385587
3892327	385585
5507474	590452
5507477	869810
5507479	590452
5302179	1042120
5507471	590452
3894955	136231
5507480	869810
5507481	590452
5507560	1045587
5507563	194039
5507567	502000
5507542	4727690
3894859	234586
3893520	3893518
3894827	25038
3894849	524330
5507590	864170
3894838	265951
5507614	4727463
5507679	4728115
5507688	1021694
5507656	4727833
5507661	4727623
5507638	4728200
5507641	4727722
3894767	597707
3894765	167578
3894714	3894697
3893451	888137
3894787	519450
3894791	1021882
5507739	4728158
969721	129206
5507718	968337
5507701	10914
608332	259770
969732	378659
1086845	528730
765707	194037
765703	194037
5507779	1092831
5507783	616821
3894613	13131
3893300	832285
5342715	959569
5232470	3892347
5232460	3892316
5232461	3892313
5232465	3893806
5232467	3893785
3893337	76122
3894661	27249
5232420	3896260
3893353	3893327
5325299	10914
3892843	888135
550329	29196
3900061	295599
3900059	726353
3893970	144438
180790	22455
3893997	603445
3893998	1014716
3893990	389990
3893993	768244
3893994	1071718
3893995	81828
3893996	81825
3893986	542221
3893989	856437
5739985	202600
4727946	502935
4727945	10905
3893892	428446
3892522	3892340
4727983	148177
4727963	238452
515705	336640
3893917	987563
3893919	590452
3893924	746474
4727890	672991
4727888	148177
3893957	299629
3893959	729887
4727878	333749
3893907	533062
3893908	27436
3893912	3892378
3893914	858218
3893915	590452
3893916	533078
212027	212025
4727810	409712
3893784	117722
4727840	1090001
5328891	869810
1086294	869810
1098312	180784
587342	71940
5507458	670513
5507455	869810
5507454	590452
5507456	691973
774326	210846
5507461	590452
5507464	670513
5507466	691973
5507465	590452
4727776	194039
4727760	759041
3892508	3892407
5507449	869810
5507440	590452
4727751	49204
5507442	533062
5507444	869810
5507443	590452
5507446	590452
5507445	708051
4727797	386038
4727791	946615
5144331	3899409
5144324	742721
5144372	867004
5144362	471193
5144396	734920
3896769	155229
3894106	49202
3896780	287222
3896786	674076
3896788	631147
3896779	151030
3896729	515823
3894186	609895
3894142	914194
3895499	658317
3894150	528730
910052	706032
3897904	3897280
5794298	56264
3896643	487021
3894008	81824
3896663	1013041
3894001	69387
3896665	328691
3894003	603446
3894007	152269
3897939	3897930
