source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Legousia hybrida	ncbi:368679	=>	Legousia hybrida	ncbi:368679	638797	new/tip	null
Lobelia tenella	gbif:8027425	=>	Lobelia tenella	gbif:8027425	9006650	new/tip	null
Solenopsis bivonae	gbif:5413134	=>	Solenopsis bivonae	gbif:5413134	3892585	new/tip	null
Lobelia setacea	ott:3893091	-	Solenopsis bivonae	gbif:5413134	3892585	noinfo	null
Lobelia setacea	ott:3893091	=>	Lobelia setacea	gbif:5408821	3893091	same/primary-name	Lobelia setacea
		-	Lobelia tenella	gbif:8027425	9006650	addition	null
Cichorium pumilum	ncbi:114281	=>	Cichorium pumilum	ncbi:114281	1085088	new/tip	null
Achillea crithmifolia	ncbi:282732	=>	Achillea crithmifolia	ncbi:282732	245246	new/tip	null
Achillea crithmifolia	ott:3899331	-		null	-	lumped	null
Gaillardia coahuilensis	ncbi:373158	=>	Gaillardia coahuilensis	ncbi:373158	388654	new/tip	null
Adenophora verticillata	ncbi:1049768	=>	Adenophora verticillata	ncbi:1049768	181763	new/import	null
Adenophora triphylla	gbif:5409255	-	Adenophora verticillata	ncbi:1049768	181763	noinfo	null
Adenophora triphylla	gbif:5409255	-	Adenophora verticillata var. hirsuta	ncbi:1049769	181765	noinfo	null
Adenophora triphylla	gbif:5409255	-	Adenophora triphylla var. japonica	ncbi:265775	526871	noinfo	null
Adenophora triphylla	gbif:5409255	=>	Adenophora triphylla	ncbi:187269	817781	same/primary-name	Adenophora triphylla
Adenophora triphylla	ott:817781	-	Adenophora verticillata	ncbi:1049768	181763	noinfo/disjoint	|Adenophora triphylla var. japonica
Adenophora triphylla	ott:817781	-	Campanula versicolor	ncbi:361406	719194	noinfo/target-no-children	null
Adenophora triphylla	ott:817781	=>	Adenophora triphylla	ncbi:187269	817781	same/is-subsumed-by	null
Lobelia cymbalarioides	gbif:5407829	=>	Lobelia cymbalarioides	gbif:5407829	3892817	new/tip	null
Cephalophora	gbif:3086757	=>	Cephalophora	gbif:3086757	4727808	new/tip	null
Cephalophora	ott:4727808	-		null	-	continued-hidden	null
Campanula propinqua	ncbi:428188	=>	Campanula propinqua	ncbi:428188	27443	new/tip	null
Campanula balansae	ott:84673	-	Campanula propinqua	ncbi:428188	27443	noinfo	null
Campanula balansae	ott:84673	=>	Campanula balansae	ncbi:1241028	84673	same/primary-name	Campanula balansae
Mesogramma	ncbi:904448	=>	Mesogramma	ncbi:904448	1095823	new/import	null
Nephrophyllidium	ncbi:49611	=>	Nephrophyllidium	ncbi:49611	128313	new/import	null
Nephrophyllidium	ott:128313	=>	Nephrophyllidium	ncbi:49611	128313	same/parent+parent	Menyanthaceae|Menyanthaceae
Centropogon warscewiczii	gbif:5412542	=>	Centropogon warscewiczii	gbif:5412542	3893703	new/tip	null
Delissea subcordata	ncbi:360850	=>	Delissea subcordata	ncbi:360850	444377	new/tip	null
Campanula drabifolia	ncbi:361380	=>	Campanula drabifolia	ncbi:361380	377020	new/tip	null
Campanula fastigiata	gbif:5410417	-	Campanula drabifolia	ncbi:361380	377020	noinfo	null
Campanula fastigiata	gbif:5410417	=>	Campanula fastigiata	ncbi:428169	283595	same/primary-name	Campanula fastigiata
Campanula scutellata	gbif:5411959	-	Campanula drabifolia	ncbi:361380	377020	noinfo	null
Campanula scutellata	gbif:5411959	=>	Campanula scutellata	ncbi:428202	513697	same/primary-name	Campanula scutellata
Volutaria lippii	ncbi:41663	=>	Volutaria lippii	ncbi:41663	484226	new/import	null
Volutaria lippii	ott:3894374	=>	Volutaria lippii	ncbi:41663	484226	lumped	null
Volutaria lippii	ott:3894374	-		null	-	lumped	null
Rhodogeron	ncbi:231630	=>	Rhodogeron	ncbi:231630	441891	new/import	null
Sachsia	gbif:3115706	-	Rhodogeron	ncbi:231630	441891	noinfo	null
Sachsia	gbif:3115706	=>	Sachsia	ncbi:231632	441886	same/primary-name	Sachsia
Oclemena	ncbi:1539882	=>	Oclemena	ncbi:1539882	4727900	new/import	null
Xylanthemum rupestre	ncbi:1115800	=>	Xylanthemum rupestre	ncbi:1115800	387988	new/tip	null
Chrysanthemum rupestre	ott:452370	-	Xylanthemum rupestre	ncbi:1115800	387988	noinfo/lineage	Artemisiinae|Handeliinae
Chrysanthemum rupestre	ott:452370	=>	Chrysanthemum rupestre	ncbi:344873	452370	same/parent+parent	Artemisiinae|Artemisiinae
Xylanthemum rupestre	ott:387988	=>	Xylanthemum rupestre	ncbi:1115800	387988	same/parent+parent	Handeliinae|Handeliinae
Pericallis appendiculata	ncbi:109568	=>	Pericallis appendiculata	ncbi:109568	812712	new/import	null
Inuloides	gbif:3141609	=>	Inuloides	gbif:3141609	4727616	new/tip	null
Inuloides	ott:4727616	-		null	-	continued-hidden	null
Porophyllum ruderale	ncbi:169599	=>	Porophyllum ruderale	ncbi:169599	621466	new/tip	null
Artemisia rupestris	ncbi:86317	=>	Artemisia rupestris	ncbi:86317	202544	new/import	null
Siphocampylus westinianus	ncbi:368701	=>	Siphocampylus westinianus	ncbi:368701	95599	new/tip	null
Onopordum turcicum	ncbi:592004	=>	Onopordum turcicum	ncbi:592004	432353	new/tip	null
Asteropsis	ncbi:433487	=>	Asteropsis	ncbi:433487	735250	new/import	null
Podocoma	gbif:5385927	-	Asteropsis	ncbi:433487	735250	noinfo	null
Podocoma	gbif:5385927	-	Inulopsis	ncbi:433489	917004	noinfo	null
Podocoma	gbif:5385927	=>	Podocoma	ncbi:72966	532474	same/primary-name	Podocoma
