name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Campanulales	|	1042120	|	includes	|	Campanulales (synonym for Asterales)	|	ncbi:4209	|	
Abrophyllaceae	|	1084532	|	includes	|	Abrophyllaceae (synonym for Rousseaceae)	|	ncbi:85554,gbif:4894506	|	
Carpodetaceae	|	1084532	|	includes	|	Carpodetaceae (synonym for Rousseaceae)	|	ncbi:85554,gbif:4894506	|	
Donatiaceae	|	541659	|	includes	|	Donatiaceae (synonym for Stylidiaceae)	|	ncbi:41865,gbif:3232107	|	
Candolleaceae	|	541659	|	synonym	|	Candolleaceae (synonym for Stylidiaceae)	|	gbif:3232107	|	
Corokiaceae	|	3826	|	synonym	|	Corokiaceae (synonym for Argophyllaceae)	|	gbif:3789900	|	
Jasionaceae	|	1086303	|	synonym	|	Jasionaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Lobeliaceae	|	1086303	|	synonym	|	Lobeliaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Cyphiaceae	|	1086303	|	synonym	|	Cyphiaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Nemacladaceae	|	1086303	|	synonym	|	Nemacladaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Cyananthaceae	|	1086303	|	synonym	|	Cyananthaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Cyphocarpaceae	|	1086303	|	synonym	|	Cyphocarpaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Boopidaceae	|	824916	|	synonym	|	Boopidaceae (synonym for Calyceraceae)	|	gbif:6756	|	
Scaevolaceae	|	751881	|	synonym	|	Scaevolaceae (synonym for Goodeniaceae)	|	gbif:3113	|	
Brunoniaceae	|	751881	|	synonym	|	Brunoniaceae (synonym for Goodeniaceae)	|	gbif:3113	|	
Compositae	|	46248	|	synonym	|	Compositae (synonym for Asteraceae)	|	ncbi:4210,gbif:6070956	|	
Senecionaceae	|	46248	|	synonym	|	Senecionaceae (synonym for Asteraceae)	|	gbif:3065	|	
Aposeridaceae	|	46248	|	synonym	|	Aposeridaceae (synonym for Asteraceae)	|	gbif:3065	|	
Anthemidaceae	|	46248	|	synonym	|	Anthemidaceae (synonym for Asteraceae)	|	gbif:3065	|	
Partheniaceae	|	46248	|	synonym	|	Partheniaceae (synonym for Asteraceae)	|	gbif:3065	|	
Eupatoriaceae	|	46248	|	synonym	|	Eupatoriaceae (synonym for Asteraceae)	|	gbif:3065	|	
