uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
1042120	|		|	Asterales	|	order	|	ncbi:4209,gbif:414	|		|		|	
5232472	|	1042120	|	unclassified Asterales	|	no rank - terminal	|	ncbi:1237710	|		|	was_container,not_otu	|	
1084532	|	1042120	|	Rousseaceae	|	family	|	ncbi:85554,gbif:4894506	|		|		|	
616825	|	1084532	|	Cuttsia	|	genus	|	ncbi:54175,gbif:3932658	|		|		|	
616826	|	616825	|	Cuttsia viburnea	|	species	|	ncbi:54176,gbif:7456219	|		|		|	
616821	|	1084532	|	Carpodetus	|	genus	|	ncbi:54172,gbif:7278598	|		|		|	
9007228	|	616821	|	Carpodetus sp. Pillon et al. 571	|	species	|	ncbi:1501689	|		|		|	
851922	|	616821	|	Carpodetus sp. Johns 9563	|	species	|	ncbi:880042	|		|		|	
616823	|	616821	|	Carpodetus serratus	|	species	|	ncbi:54173,gbif:3932516	|		|		|	
711551	|	616821	|	Carpodetus arboreus	|	species	|	ncbi:384950,gbif:3932669	|		|		|	
9007223	|	616821	|	Carpodetus fuscus	|	species	|	gbif:3932603	|		|		|	
9007224	|	616821	|	Carpodetus grandiflorus	|	species	|	gbif:3932580	|		|		|	
9007220	|	616821	|	Carpodetus archboldianus	|	species	|	gbif:3932659	|		|		|	
9007221	|	616821	|	Carpodetus denticulatus	|	species	|	gbif:3932635	|		|		|	
9007225	|	616821	|	Carpodetus major	|	species	|	gbif:3932568	|		|		|	
9007227	|	616821	|	Carpodetus pullei	|	species	|	gbif:3932535	|		|		|	
9007226	|	616821	|	Carpodetus montanus	|	species	|	gbif:3932556	|		|		|	
9007222	|	616821	|	Carpodetus flexuosus	|	species	|	gbif:3932622	|		|		|	
9007219	|	616821	|	Carpodetus amplus	|	species	|	gbif:3932679	|		|		|	
818058	|	1084532	|	Roussea	|	genus	|	ncbi:39021,gbif:7278655	|		|		|	
818057	|	818058	|	Roussea simplex	|	species	|	ncbi:39022,gbif:3932931	|		|		|	
396445	|	1084532	|	Abrophyllum	|	genus	|	ncbi:49578	|		|		|	
396446	|	396445	|	Abrophyllum ornans	|	species	|	ncbi:49579,gbif:7278650	|		|	sibling_higher	|	
9007218	|	396445	|	Abrophyllum f.	|	genus	|	gbif:8679153	|		|	merged,barren	|	
694622	|	1042120	|	Menyanthaceae	|	family	|	ncbi:24579,gbif:2386	|		|		|	
380453	|	694622	|	Liparophyllum	|	genus	|	ncbi:435374,gbif:7268451	|		|		|	
380455	|	380453	|	Liparophyllum gunnii	|	species	|	ncbi:435375,gbif:3825744	|		|		|	
295589	|	694622	|	Villarsia	|	genus	|	ncbi:13755,gbif:2927473	|		|		|	
855864	|	295589	|	Villarsia exaltata	|	species	|	ncbi:435385,gbif:7662598	|		|	sibling_higher	|	
726353	|	295589	|	Villarsia cambodiana	|	species	|	ncbi:644126,gbif:5928998	|		|	sibling_higher	|	
458721	|	295589	|	Villarsia umbricola	|	species	|	ncbi:482973,gbif:7930478	|		|	sibling_higher	|	
855868	|	295589	|	Villarsia parnassiifolia	|	species	|	ncbi:435387,gbif:7768926	|		|	sibling_higher	|	
177696	|	295589	|	Villarsia violifolia	|	species	|	ncbi:507527,gbif:8222642	|		|	sibling_higher	|	
458717	|	295589	|	Villarsia latifolia	|	species	|	ncbi:482971,gbif:8261116	|		|	sibling_higher	|	
855871	|	295589	|	Villarsia lasiosperma	|	species	|	ncbi:435386,gbif:8032401	|		|	sibling_higher	|	
855862	|	295589	|	Villarsia reniformis	|	species	|	ncbi:435388	|		|	sibling_higher	|	
295599	|	295589	|	Villarsia calthifolia	|	species	|	ncbi:13756,gbif:4931203	|		|	sibling_higher	|	
855878	|	295589	|	Villarsia albiflora	|	species	|	ncbi:435383	|		|	sibling_higher	|	
855866	|	295589	|	Villarsia capensis	|	species	|	ncbi:435384,gbif:5592310	|		|	sibling_higher	|	
177694	|	295589	|	Villarsia submersa	|	species	|	ncbi:507528,gbif:7643509	|		|	sibling_higher	|	
281948	|	295589	|	Villarsia goldblattiana	|	species	|	ncbi:661180,gbif:5592290	|		|	sibling_higher	|	
458719	|	295589	|	Villarsia marchantii	|	species	|	ncbi:482972,gbif:7545107	|		|	sibling_higher	|	
278577	|	295589	|	Villarsia capitata	|	species	|	ncbi:170510,gbif:8347449	|		|	sibling_higher	|	
643080	|	295589	|	Villarsia manningiana	|	species	|	ncbi:484478,gbif:5592320	|		|	sibling_higher	|	
458715	|	295589	|	Villarsia congestiflora	|	species	|	ncbi:482970,gbif:7598700	|		|	sibling_higher	|	
851919	|	295589	|	Villarsia sp. Fay s.n.	|	species	|	ncbi:880048	|		|	sibling_higher	|	
9007175	|	295589	|	Villarsia rhomboidalis	|	species	|	gbif:5592299	|		|	sibling_higher	|	
9007173	|	295589	|	Villarsia indica	|	species	|	gbif:7667714	|		|	sibling_higher	|	
9007174	|	295589	|	Villarsia parviflora	|	species	|	gbif:5592363	|		|	sibling_higher	|	
3900062	|	295589	|	Ornduffia	|	genus	|	gbif:4931202	|		|	merged,barren	|	
814227	|	694622	|	Menyanthes	|	genus	|	ncbi:24581,gbif:2927475	|		|		|	
1069766	|	814227	|	Menyanthes trifoliata	|	species	|	ncbi:28525,gbif:5341511	|		|		|	
9007148	|	814227	|	Menyanthes indica	|	species	|	gbif:7877141	|		|		|	
128308	|	694622	|	Nymphoides	|	genus	|	ncbi:49613,gbif:7460897	|		|		|	
720061	|	128308	|	Nymphoides sp. Barrett & Barrett 2640	|	species	|	ncbi:1118418	|		|		|	
387102	|	128308	|	Nymphoides geminata	|	species	|	ncbi:86853,gbif:5592338	|		|		|	
488066	|	128308	|	Nymphoides fallax	|	species	|	ncbi:1118411,gbif:5592239	|		|		|	
855873	|	128308	|	Nymphoides montana	|	species	|	ncbi:435381,gbif:5592302	|		|		|	
669770	|	128308	|	Nymphoides rautanenii	|	species	|	ncbi:1118416,gbif:5792757	|		|		|	
43790	|	128308	|	Nymphoides spongiosa	|	species	|	ncbi:1118420,gbif:5592327	|		|		|	
380457	|	128308	|	Nymphoides cordata	|	species	|	ncbi:435376,gbif:5341505	|		|		|	
669768	|	128308	|	Nymphoides simulans	|	species	|	ncbi:1118417,gbif:5592349	|		|		|	
95470	|	128308	|	Nymphoides beaglensis	|	species	|	ncbi:1118405,gbif:5592231	|		|		|	
987186	|	128308	|	Nymphoides disperma	|	species	|	ncbi:1118408,gbif:5592331	|		|		|	
488099	|	128308	|	Nymphoides ezannoi	|	species	|	ncbi:1118410,gbif:5592253	|		|		|	
669772	|	128308	|	Nymphoides quadriloba	|	species	|	ncbi:1118415,gbif:5592372	|		|		|	
9007155	|	128308	|	Nymphoides grayana	|	species	|	ncbi:1775737	|		|		|	
720059	|	128308	|	Nymphoides sp. Cowie 4390	|	species	|	ncbi:1118419	|		|		|	
843034	|	128308	|	Nymphoides elliptica	|	species	|	ncbi:1118409,gbif:5592294	|		|		|	
726358	|	128308	|	Nymphoides aurantiaca	|	species	|	ncbi:644123,gbif:5592256	|		|		|	
669778	|	128308	|	Nymphoides furculifolia	|	species	|	ncbi:1118412,gbif:5592354	|		|		|	
985174	|	128308	|	Nymphoides cristata	|	species	|	ncbi:482969,gbif:5592249	|		|		|	
128320	|	128308	|	Nymphoides peltata	|	species	|	ncbi:49614,gbif:5341509	|		|		|	
12522	|	128308	|	Nymphoides aquatica	|	species	|	ncbi:113207,gbif:5341508	|		|		|	
669776	|	128308	|	Nymphoides parvifolia	|	species	|	ncbi:1118413,gbif:5592242	|		|		|	
1054894	|	128308	|	Nymphoides spinulosperma	|	species	|	ncbi:644125,gbif:5592336	|		|		|	
95474	|	128308	|	Nymphoides coreana	|	species	|	ncbi:1118407,gbif:5592364	|		|		|	
374210	|	128308	|	Nymphoides humboldtiana	|	species	|	ncbi:1169546	|		|		|	
380459	|	128308	|	Nymphoides crenata	|	species	|	ncbi:435377,gbif:5592348	|		|		|	
95472	|	128308	|	Nymphoides brevipedicellata	|	species	|	ncbi:1118406,gbif:5592382	|		|		|	
726355	|	128308	|	Nymphoides minima	|	species	|	ncbi:644124,gbif:5592321	|		|		|	
380467	|	128308	|	Nymphoides exigua	|	species	|	ncbi:435378,gbif:4931205	|		|		|	
262295	|	128308	|	Nymphoides triangularis	|	species	|	ncbi:1118422,gbif:5592261	|		|		|	
228774	|	128308	|	Nymphoides indica	|	species	|	ncbi:105901,gbif:5341503	|		|		|	
43792	|	128308	|	Nymphoides subacuta	|	species	|	ncbi:1118421,gbif:5592300	|		|		|	
669774	|	128308	|	Nymphoides planosperma	|	species	|	ncbi:1118414,gbif:5592383	|		|		|	
855880	|	128308	|	Nymphoides thunbergiana	|	species	|	ncbi:435382	|		|		|	
5144411	|	128308	|	Nymphoides aquatica x Nymphoides cordata	|	species	|	ncbi:1235869	|		|	hybrid	|	
380469	|	128308	|	Nymphoides exiliflora	|	species	|	ncbi:435379,gbif:5592263	|		|		|	
9007163	|	128308	|	Nymphoides macrosperma	|	species	|	gbif:7723301	|		|		|	
9007164	|	128308	|	Nymphoides macrospermum	|	species	|	gbif:5592351	|		|		|	
9007149	|	128308	|	Nymphoides bosseri	|	species	|	gbif:5592389	|		|		|	
9007161	|	128308	|	Nymphoides krishnakesara	|	species	|	gbif:5592385	|		|		|	
3900058	|	128308	|	Nymphoides guineensis	|	species	|	gbif:5792756	|		|		|	
9007152	|	128308	|	Nymphoides flaccida	|	species	|	gbif:5592228	|		|		|	
9007153	|	128308	|	Nymphoides flava	|	species	|	gbif:5592387	|		|		|	
9007167	|	128308	|	Nymphoides siamensis	|	species	|	gbif:5592356	|		|		|	
9007170	|	128308	|	Nymphoides tenuissima	|	species	|	gbif:5592295	|		|		|	
9007158	|	128308	|	Nymphoides herzogii	|	species	|	gbif:5592305	|		|		|	
9007162	|	128308	|	Nymphoides lungtanensis	|	species	|	gbif:5592358	|		|		|	
9007169	|	128308	|	Nymphoides stygium	|	species	|	gbif:5592312	|		|		|	
9007166	|	128308	|	Nymphoides minor	|	species	|	gbif:5592314	|		|		|	
9007168	|	128308	|	Nymphoides sivarajanii	|	species	|	gbif:5592342	|		|		|	
9007154	|	128308	|	Nymphoides forbesiana	|	species	|	gbif:8334332	|		|		|	
9007171	|	128308	|	Nymphoides tonkinensis	|	species	|	gbif:5592274	|		|		|	
9007165	|	128308	|	Nymphoides milnei	|	species	|	gbif:5592333	|		|		|	
9007150	|	128308	|	Nymphoides coronata	|	species	|	gbif:7478860	|		|		|	
9007159	|	128308	|	Nymphoides humilis	|	species	|	gbif:5592273	|		|		|	
9007156	|	128308	|	Nymphoides grayanum	|	species	|	gbif:7416682	|		|		|	
9007157	|	128308	|	Nymphoides hastata	|	species	|	gbif:5592309	|		|		|	
9007172	|	128308	|	Nymphoides verrucosa	|	species	|	gbif:8679030	|		|		|	
9007160	|	128308	|	Nymphoides hydrocharodes	|	species	|	gbif:5592268	|		|		|	
